프로그램명,신청대상,프로그램 목표,프로그램 주요내용,프로그램 분류,학부,학적,학년,창의·혁신역량,자기주도적 학습역량,지식·정보·기술 활용역량,의사소통 역량,대인관계역량,세계시민역량,프로그램 목표_키워드,프로그램 주요내용_키워드
제3기 진로취업지원센터서울 서포터즈,학부KFL학부,제3기 진로취업지원센터(서울) 서포터즈," 안녕하세요 
진로취업지원센터서울입니다 
 진로취업지원센터의 다양한 프로그램을 홍보하고 학생들의 참여율율 향상시키기위해 
제3기 학생 서포터즈를 선발하고자 합니다 
 참여를 희망하시는 분들은 지원서첨부파일를 작성하여 신청해주시기 바랍니다 
많은 관심과 참여 부탁드립니다 
감사합니다 
   활동 불참 등 수료자로 보기에 적합하지 않은 행위가 발생할 경우 활동지원금 및 수료증 발급 대상에서 제외될 수 있습니다 
 ",진로취업프로그램활동형,단과대학 ,재학 ,전체,75,0,0,0,25,0,"제3기, 서포터즈, 서울, 진로취업지원센터","희망하시는, 학생들의, 안녕하세요, 부탁드립니다, 감사합니다, 입니다, 작성하여, 선발하고자, 바랍니다, 신청해주시기"
실제 사례 분석을 통한 합격자소서 만들기_직무적합성편,학부KFL학부,실제 합/불합격 자소서 사례분석을 통해 합격할 수 있는 자기소개서 작성해 보기.,"자기소개서 쓰려는데 시작이 어려우신가요
다른 사람이 쓴 자소서를 보고 싶을까요
 2023년 하반기 채용시즌 대비
실제 합격불합격 자기소개서 사례 분석을 통해
합격할 수 있는 자기소개서 만들어 봅시다
 9월 13일수 오후 24시 줌에서 만나 함께 자소서를 파헤쳐 봐요
 직무적합성 관련 문제 파악과 답변 전략
 합격 자소서 구조 분석
 불합격 자소서 원인 분석
     ",-,단과대학 ,전체,전체,0,25,50,25,0,0,"불합격, 작성해, 합격할, 자기소개서, 통해, 자소서, 실제, 보기, 있는, 사례분석을","직무적합성, 어려우신가요, 채용시즌, 자기소개서, 봅시다, 통해, 분석을, 시작이, 불합격, 오후"
실제 사례 분석을 통한 합격자소서 만들기_조직적합성편,학부KFL학부,실제 합/불합격 자소서 사례분석을 통해 합격할 수 있는 자기소개서 작성해 보기.,"자기소개서 쓰려는데 시작이 어려우신가요
다른 사람이 쓴 자소서를 보고 싶을까요
 2023년 하반기 채용시즌 대비
실제 합격불합격 자기소개서 사례 분석을 통해
합격할 수 있는 자기소개서 만들어 봅시다
 9월 14일목 오후 24시 줌에서 만나 함께 자소서를 파헤쳐 봐요
 조직적합성 관련 문제 파악과 답변 전략
 합격 자소서 구조 분석
 불합격 자소서 원인 분석
  ",진로취업프로그램강의형,단과대학 ,전체,전체,0,25,50,25,0,0,"불합격, 작성해, 합격할, 자기소개서, 통해, 자소서, 실제, 보기, 있는, 사례분석을","조직적합성, 어려우신가요, 채용시즌, 자기소개서, 통해, 분석을, 봅시다, 시작이, 자소서, 불합격"
2023 하반기 채용 대비 실전 자기소개서 특강,학부KFL학부,합격을 위한 자기소개서 작성 방법을 익힐 수 있게 한다.,"2023년 하반기 본격적인 채용 시즌을 앞두고
자기소개서 작성 준비에서 실전까지 체크할 수 있습니다
  지원서 작성 시 꼭 체크해야 할 사항
 경험 분석과 역량 키워드 도출 
 자소서 주요 항목 공략 실전
 9월 6일수 14시16시 Zoom 으로 진행합니다
     ",진로취업프로그램강의형,단과대학 ,전체,전체,0,25,50,25,0,0,"합격을, 한다, 방법을, 자기소개서, 작성, 익힐, 있게, 위한","본격적인, 자기소개서, 16시, 진행합니다, 14시, 실전, 작성, 자소서, 시즌을, 6일"
2023 서울청년 르네상스,학부KFL학부,서울지역 청년들의 성공적인 사회진출과 다양한 진로취업분야 도출 지원," 신청링크  httpsseoulinsightjobcokr
hufsability 상에서 신청하지 않습니다 
hufsability 상에서 신청하지 않습니다 
hufsability 상에서 신청하지 않습니다 
  ",진로취업프로그램강의형,단과대학 ,전체,전체,0,25,25,0,25,25,"성공적인, 서울지역, 청년들의, 도출, 지원, 진로취업분야, 사회진출과, 다양한","hufsability, 신청링크, 신청하지, 상에서, kr, insightjob, seoul, 않습니다, https"
한국외국어대학교멀티캠퍼스 8월 KDigital Training 과정 모집설명회 참가자특전 有,학부KFL학부,IT취업을 희망하는 학생들의 KDT 프로그램 소개 설명회,"한국외국어대학교멀티캠퍼스 20238월 KDigital Training 과정설명회
 한국외국어대학교 진로취업지원센터와 멀티캠퍼스가 함께하는 8월 KDT과정 설명회를 아래와 같이 안내하오니 많은 관심바랍니다
 아    래
 1 모집설명회 대상과정  백엔드 개발자 취업캠프 JAVA
 2 일시장소  20230831목 15001600  비대면 온라인 실시간 라이브 Zoom
   신청기한  20230830수 1800까지
 3 대상  ITSW직무 취업을 희망하는 3학년 이상 우리대학 재휴학생 및 졸업생
 4 설명회 참가자 특전  해당 교육과정 선발 시 면접 가산점 부여
   아래 이미지 클릭 시 신청페이지로 이동합니다 HUFSAbility에서 신청하지 않고 별도 페이지에서 신청합니다
  ",진로취업프로그램강의형,전체,전체,전체,0,50,50,0,0,0,"학생들의, 희망하는, kdt, 프로그램, 소개, 설명회, it취업을","kdt과정, 교육과정, 대상과정, 신청기한, 신청페이지로, 이미지, 신청하지, 이상, 신청합니다, 페이지에서"
2023 하반기 IT역량강화프로그램 SQLD 데이터베이스 과정,학부KFL학부,SQL에 대한 이해 및 관련 자격증 취득," 추가안내 20230829  본 교육은 Windows OS에서 실시합니다 iOS 등 기타 운영체제에서는 원활한 실습환경 구축이 어려울 수 있으니 사전에 부트캠프 또는 페러랠 데스크톱 등의 앱을 이용하여 Windows OS를 설치하거나 Windows OS가 설치되어 있는 다른 기기를 이용하여 참여해주시기 바랍니다 그럼에도 iOS를 사용해야 하는 경우 실습환경 구성은 본인이 직접 인터넷 검색을 통해 완료하셔야 하며 교육내용과 실습내용이 상이할 수 있습니다
  본 프로그램은 파일럿 프로그램으로 오픈한 IT자격증 준비과정이며 본 과정 운영결과에 따라 차후 정규 확대 편성 또는 폐지될 수 있습니다
  학기 중 개설하여 부득이하게 아래와 같이 화 목 저녁시간중간고사기간 등 제외에 강의를 진행하므로 꾸준히 이수가 가능한 학생만 신청바랍니다 미이수 시 향후 유사과정 신청 제한
   9월  12화 14목 19화 21목 26화
   10월  5목 17화 19목 31화
   11월  2목 7화 9목
  본 강의는 실시간 오프라인 강좌를 온라인 동시 송출하여 진행하는 강의로 과정 신청 시 강의형태를 꼭 선택해주세요 온라인 오프라인 중 1개 선택
   오프라인 강의는 종로 일대에서 진행되며 중도 온라인 전환 시 이후에는 온라인으로만 수강할 수 있습니다 오프라인 수강 희망에도 불구하고 온라인으로 이수하게 된 학생은 추후 오프라인 결원발생 시 오프라인 강의로 전환 가능  별도 조치예정
  관련문의  0221732234
   ",진로취업프로그램강의형,단과대학 ,전체,전체,25,0,75,0,0,0,"sql에, 자격증, 관련, 대한, 이해, 취득","실습환경, windows, 운영결과에, 운영체제에서는, 관련문의, 교육내용과, 이용하여, 강의형태를, 실습내용이, 준비과정이며"
오쌤 입사지원서 특강을 부탁해 자소서 첨삭반,-,"자소서 대표 항목에 대한 전문가 첨삭 지도를 제공함(대면, 5인 이하 소그룹)","자기소개서 작성 지도의 달인 오쌤의 자기소개서 첨삭 특강이 찾아 왔습니다흔치 않은 기회 
보다 큰 교육효과를 위하여 개별 밀착지도  대면으로 진행됩니다 아래 내용을 확인해주세요
 1 목적   자소서 대표항목성장과정 지원동기 성격장단점 입사후 포부 에 대한 전문가 첨삭 지도를 제공 
 2 신청자격  
 가 오쌤 입사지원서 작성 기초반 수강자에 한함
 나 자소서 기본항목성장과정 지원동기 성격장단점 입사후 포부 중 2개 이상 작성을 완료한 학생에 한하여 신청 가능 
 3 교육 진행 계획  글로벌캠퍼스 백년관 208호에서 대면으로 진행
  1회 8월 24일목 10시  13시 
  2회 8월 28일월 10시  13시
 4 문의  0313304042 head312hufsackr 진로취업지원센터글로벌
  ",-,단과대학 ,재학 휴학 수료 비재학 졸업 ,전체,0,75,25,0,0,0,"5인, 소그룹, 제공함, 자소서, 항목에, 전문가, 대한, 대면, 이하, 지도를","성장과정, 확인해주세요, 신청자격, 밀착지도, 지도의, 오쌤의, 대표항목, 신청, 백년관, 기본항목"
HUFS 글로벌기업 서포터즈기업탐방 및 현직자 인터뷰,학부KFL학부,"‘해외영업 직무’ 취업 마인드를 고취시키고, 취업경쟁력 강화"," 안녕하세요
진로취업지원센터입니다 
 2023 한국외국어대학교 글로벌 기업 서포터즈를 모집합니다 
기업분석 특강과 기업탐방을 통해 여러분들의 취업 역량을 높이고자 마련된 프로그램으로 
프로그램 수료특강 2회 참석 및 기업탐방 과제물 제출 시 기프티콘전원과 지원금7만원_우수활동자 선발을 지원해드립니다 
 제출한 과제물의 경우 진로취업지원센터 홍보물로 활용될 수 있습니다 참고 부탁드립니다  
 자세한 내용은 아래 포스터를 참고 바라며 많은 관심 부탁드립니다 
감사합니다 
 ",진로취업프로그램활동형,단과대학 ,전체,3학년 4학년 5학년 6학년 ,25,0,25,25,25,0,"직무, 마인드를, 강화, 해외영업, 취업경쟁력, 취업, 고취시키고","7만원_우수활동자, 여러분들의, 기업분석, 안녕하세요, 특강과, 서포터즈를, 수료, 선발, 모집합니다, 기업탐방을"
자소서를 부탁해 11 완성 프로젝트,학부KFL학부,개인별 맞춤 자기소개서 완성을 통해 구직기술 향상과 하반기 채용 대비,"지원하고 싶은 기업의 채용공고가 떴는데 자소서 준비가 미흡하여 지원을 포기한 경험이 있으신가요
하반기 채용대비 미리미리 준비하여 자신감 UP
자소서 작성이 처음이신 분들은 단계별 첨삭으로 합격까지 GO 
핵심경험 중심의 11 자소서 컨설팅을 통해 합격을 부르는 자소서 완성까지
자소서를 부탁해 11 완성 프로젝트와 함께 고고
    ",진로취업프로그램상담컨설팅형,단과대학 ,전체,전체,0,50,50,0,0,0,"개인별, 완성을, 구직기술, 자기소개서, 하반기, 통해, 채용, 대비, 향상과, 맞춤","채용공고가, 핵심경험, 작성이, 완성, 경험이, 기업의, 미흡하여, 컨설팅을, 중심의, 프로젝트와"
유캔두잇 모의면접 프로그램대면 2일 운영,학부KFL학부,모의면접을 통한 면접스킬 향상, ,진로취업프로그램활동형,단과대학 ,전체,전체,50,0,0,25,25,0,"모의면접을, 면접스킬, 통한, 향상",
이공계 현직자 직무 특강 IT개발보안  Riiid사 Information SecurityPrivacy,학부KFL학부,이공계 저학년생의 전공 적응과 진로탐색에 필요한 정보를 제공,"이공계 온라인 직무 특강
1 일시  829화 19시  21시비대면
2 직무  IT개발보안
3 멘토소속  Riiid 전 카카오 SK 쿠팡  프로필 httpswwwitdaanetmentors2975
4 대상  전공자 및 해당분야에 관심이 있는 학생 
5 내용  멘토의 대학생활 진로탐색 취준기 회사소개 담당업무 소개
 글로벌캠퍼스 자공대 각 학과에서 추천한 멘토를 섭외하여
멘토의 대학생활 진로탐색 취준기 회사소개 현재 직무 정보를 소개하는 교육을 준비하였습니다 
 저학년 학생들에게는 본인이 선택한 전공 및 학과에 대한 비전을 발견하는 시간이 될 것이고
고학년 학생들에게는 대기업 현직자에게서만 얻을 수 있는 특별한 정보들이 제공되는 시간이 될 것입니다
 사전 질문을 취합하여 이를 중점으로 질의응답을 진행 할 예정이며 시간도 넉넉하게 배정될 예정이오니 많은 참여 바랍니다 
  신청자 한해서 특강 전날이나 당일 오전에 접속 URL 발송해 드립니다
 교육 기간 동안 참가가 확실한 학생만 신청하여 주시기 바랍니다 무단 불참 시 향후 타 프로그램 참가에 제한이 있을 수 있습니다
         ",진로취업프로그램강의형,단과대학 ,전체,전체,0,100,0,0,0,0,"저학년생의, 적응과, 진로탐색에, 전공, 정보를, 제공, 필요한, 이공계","현직자에게서만, 전공자, 전공, 대학생활, 신청자, 진행, 정보들이, 접속, 질의응답을, 학생만"
이공계 현직자 직무 특강 연구설계자동차 현대자동차 파워모듈설계팀,-,이공계 저학년생의 전공 적응과 진로탐색에 필요한 정보를 제공,"이공계 온라인 직무 특강
1 일시  829화 20시  22시비대면
2 직무  연구설계자동차
3 멘토소속  현대자동차  파워모듈설계팀  프로필 httpswwwitdaanetmentors252817
4 대상  전공생 및 해당분야에 관심이 있는 학생 
5 내용  멘토의 대학생활 진로탐색 취준기 회사소개 담당업무 소개
 글로벌캠퍼스 자공대 각 학과에서 추천한 멘토를 섭외하여
멘토의 대학생활 진로탐색 취준기 회사소개 현재 직무 정보를 소개하는 교육을 준비하였습니다 
 저학년 학생들에게는 본인이 선택한 전공 및 학과에 대한 비전을 발견하는 시간이 될 것이고
고학년 학생들에게는 대기업 현직자에게서만 얻을 수 있는 특별한 정보들이 제공되는 시간이 될 것입니다
 사전 질문을 취합하여 이를 중점으로 질의응답을 진행 할 예정이며 시간도 넉넉하게 배정될 예정이오니 많은 참여 바랍니다 
  신청자 한해서 특강 전날이나 당일 오전에 접속 URL 발송해 드립니다
 교육 기간 동안 참가가 확실한 학생만 신청하여 주시기 바랍니다 무단 불참 시 향후 타 프로그램 참가에 제한이 있을 수 있습니다
         ",-,단과대학 ,전체,전체,0,100,0,0,0,0,"저학년생의, 적응과, 진로탐색에, 전공, 정보를, 제공, 필요한, 이공계","현직자에게서만, 전공생, 신청자, 현대자동차, 대학생활, 자동차, 전공, 신청하여, 학생만, 진행"
