프로그램명,프로그램 분류,신청대상,프로그램 목표,프로그램 주요내용,학부,학적,학년,지식·정보·기술 활용역량,자기주도적 학습역량,창의·혁신역량,의사소통 역량,대인관계역량,세계시민역량,프로그램 목표_키워드,프로그램 주요내용_키워드
특교원 1021 몽골 태국 브라질 이탈리아 만들기 부스 운영자 모집 신청1018 2pm,-,학부학부,'2023 서대문 책으로 축제' 전공생 지원," 사업 내용
 행 사 명   2023 서대문 책으로 축제
 행사일시  20231021 토 11001700
 근무시간  20231021 토 10001730 중간 휴게시간 30분 7시간 예정
 급      여  140000원 시간당 20000원7시간
 장      소  서대문독립공원 잔디밭 및 인근 광장
 주      제  국가별 만들기 체험 부스 운영
 내      용  몽골 태국 브라질 이탈리아 총 4개국 언어별 전공자 1명씩 총 4명 참여하여 아동청소년 및 부모님께 만들기 체험 지도
   프로그램 구성안
 국가별 만들기 체험 부스 운영
  몽골 게르 태국 러이끄라통 브라질 삼바 머리띠 이탈리아 피사의 사탑 등
 만들기 키트 100개 소진 후 국기 색칠하기 활동으로 전환
 만들기 활동 완성한 학생에게 국가별 간식 기념품 제공
   몽골 커드볼 태국 김과자 브라질 과라나 음료수 이탈리아 미주라 비스켓 등
    모든 행사 물품은 특교원 지원 학생들에게 만들기 방법 안내 예정
  지원 관련
 지원학과  몽골어과 태국어과태국어통번역학과 브라질학과포르투갈어과 이탈리아어과이탈리아어통번역학과융합인재학부 이탈리아 EU 전략 세부 모듈 총 8개 학과
 선발인원  언어별 1명씩 총 4명 개별 부스 운영
 지원자격  전공자 누구나 재학생 휴학생 수료생 졸업생 초과학기생 이중전공생 대학원생 등 포함
  사진 첨부한 자유 양식의 이력서를 업로드 바랍니다
검토 후 면접 선발자에게 개별 연락 드리겠습니다
면접일자는 18수 19목 20금 중 조율 예정
  접수마감 20231018 오후 2시까지
 문의처 0221733435 cflehufsackr",단과대학 ,전체,전체,0,0,0,25,50,25,"2023, 전공생, 책으로, 서대문, 축제, 지원","태국어통번역학과, 이중전공생, 몽골어과, 이탈리아어통번역학과, 초과학기생, 이탈리아어과, 서대문독립공원, 완성한, 운영, 대학원생"
20232 중국 유학생 학업 및 진로 특강  20232 国际学生 特别学术和职业讲座,-,학부KFL학부대학원한국어문화교육원경영대학원정치행정언론대학원통번역대학원교육대학원국제지역대학원경영대학원(주간)경영대학원(야간)법학전문대학원TESOL대학원KFL대학원,유학생의 대학생활 적응 향상 (진로발달 및 학업동기 향상),"안녕하세요 한국외국어대학교 학생상담센터입니다
학생상담센터에서는 유학생들을 위한 프로그램을 실시할 예정입니다
유학생 분들의 많은 관심과 참여 부탁드립니다 감사합니다
 你好韩国外国语大学学生咨询中心
学生咨询中心计划为国际学生实施项目
我们要求国际学生的大量兴趣和参与谢谢
 20232 중국 유학생 학업 및 진로 특강  20232 国际学生 特别学术和职业讲座
1 대상  한국외대 유학생중국어 가능자  韩国外国语大学学生中文流利
2 일시  2023년 11월 1일수 오후 5시7시 20231101 星期三 下午 57
3 장소  교수학습지원센터 202호대면  教授学习开发院 202号面对面
4 신청방법 아래 링크접속 또는 첨부된 홍보 포스터 QR을 통해 신청
 通过以下链接或随附的宣传海报二维码申请
httpsformsglePfuq4cMZoYLxuiF59
5 문의 sccshufsackr  0221732562",전체,전체,전체,25,50,25,0,0,0,"유학생의, 학업동기, 대학생활, 적응, 진로발달, 향상","학생상담센터입니다, 학생상담센터에서는, 안녕하세요, 学生咨询中心计划为国际学生实施项目, 韩国外国语大学学生咨询中心, 중국어, 중국, 유학생, 관심과, 교수학습지원센터"
20232 중국 유학생 학업 및 진로 특강  20232 国际学生 特别学术和职业讲座,-,-,유학생의 대학생활 적응 향상 (진로발달 및 학업동기 향상),"안녕하세요 한국외국어대학교 학생상담센터입니다
학생상담센터에서는 유학생들을 위한 프로그램을 실시할 예정입니다
유학생 분들의 많은 관심과 참여 부탁드립니다 감사합니다
 你好韩国外国语大学学生咨询中心
学生咨询中心计划为国际学生实施项目
我们要求国际学生的大量兴趣和参与谢谢
 20232 중국 유학생 학업 및 진로 특강  20232 国际学生 特别学术和职业讲座
1 대상  한국외대 유학생중국어 가능자  韩国外国语大学学生中文流利
2 일시  2023년 11월 1일수 오후 5시7시 20231101 星期三 下午 57
3 장소  교수학습지원센터 202호대면  教授学习开发院 202号面对面
4 신청방법 아래 링크접속 또는 첨부된 홍보 포스터 QR을 통해 신청
 通过以下链接或随附的宣传海报二维码申请
httpsformsglePfuq4cMZoYLxuiF59
5 문의 sccshufsackr  0221732562",-,-,-,25,50,25,0,0,0,"유학생의, 학업동기, 대학생활, 적응, 진로발달, 향상","학생상담센터입니다, 학생상담센터에서는, 안녕하세요, 学生咨询中心计划为国际学生实施项目, 韩国外国语大学学生咨询中心, 중국어, 중국, 유학생, 관심과, 교수학습지원센터"
HUFS English Writing Tutoring 10월 3주차 1016 1020,교육특강,학부KFL학부대학원경영대학원통번역대학원교육대학원경영대학원정치행정언론대학원국제지역대학원경영대학원(주간)경영대학원(야간)법학전문대학원TESOL대학원KFL대학원,글로벌 사회와의 효과적인 소통을 위해 학습자들의 외국어 글쓰기 능력 향상,   ,단과대학 대학원 ,재학 휴학 ,전체,0,50,0,50,0,0,"글쓰기, 효과적인, 소통을, 학습자들의, 능력, 글로벌, 향상, 위해, 외국어, 사회와의",
특교원 우즈베크어 현지지역전문가 특강  타슈켄트국립동방학대학교 총장,-,-,현지 지역전문가 특강으로 인한 우즈베키스탄에 대한 관심도 재고,"Tixsiyeva SGulchehra 타슈켄트국립동방학대학교TDShU 총장 방문
현지 대학교 총장의 강의로 학생들이 우즈베키스탄에 대해 접할 수 있는 기회를 가지게 함",-,-,-,0,0,0,0,0,0,"우즈베키스탄에, 지역전문가, 특강으로, 현지, 관심도, 재고, 인한, 대한","타슈켄트국립동방학대학교, 우즈베키스탄에, tixsiyeva, 총장의, 강의로, 학생들이, 현지, 가지게, 총장, tdshu"
특교원 카자흐어 현지 지역 전문가 특강  한카자흐스탄 외교 및 경제 관계,-,학부KFL학부,지역 전문가 강연을 통해 카자흐스탄의 흥미를 유발하고 나아가 지역전문가로서의 발판을 다지는 계기를 마련함.,"강연자 오상호 СЕРЖАНОВ БАУЫРЖАН ЕРЛАНҰЛЫ 카자흐 국제관계 및 세계언어대학교 부총장
특강 제목 한카자흐스탄 간 외교 경제 관계Қазақстан мен Корея арасындағы дипломатиялық экономикалық байланыс
특강 일시 10월 17일 화요일 오전 1120 
특강 장소 어문학관 5층 502호 전공강의실
현지 지역 전문가들의 강의로 학생들이 카자흐스탄과 한국 관계를 바르게 이해하고 나아가 지역 전문 지식 함양의 기회를 가지게 함",단과대학 ,전체,전체,50,50,0,0,0,0,"지역전문가로서의, 카자흐스탄의, 강연을, 유발하고, 전문가, 마련함, 흥미를, 통해, 발판을, 다지는","전공강의실, 부총장, 5층, 어문학관, 카자흐스탄과, 전문가들의, 강의로, 카자흐, 학생들이, 강연자"
전략기획CJ대한통운 현직선배와 함께하는 JOB 콘서트,교육특강,학부학부,현직 동문선배의 생생한 직무 소개를 통해 올바른 직무 이해 및 필요역량을 파악,"20232 현직 선배와 함께하는 JOB 콘서트
현직 동문 선배와 함께 다양한 직무 및 취업준비에 대한 모든 궁금증을 해결해보세요
1 진행 온라인 실시간zoom
2 일시 20231026목 19002100
3 멘토 직무 및 소속 전략기획 직무CJ대한통운 전략기획팀
4 멘토 프로필 확인 httpswwwitdaanetmentors97933
5 문의 서울 진로취업지원센터 0221732235
 ",단과대학 ,전체,전체,50,50,0,0,0,0,"동문선배의, 생생한, 현직, 통해, 이해, 소개를, 올바른, 직무, 파악, 필요역량을","cj대한통운, 현직, 해결해보세요, 진행, 궁금증을, 실시간, 선배와, 소속, 동문, 멘토"
영업영업관리카카오 현직선배와 함께하는 JOB 콘서트,교육특강,학부학부,현직 동문선배의 생생한 직무 소개를 통해 올바른 직무 이해 및 필요역량을 파악,"20232 현직 선배와 함께하는 JOB 콘서트
현직 동문 선배와 함께 다양한 직무 및 취업준비에 대한 모든 궁금증을 해결해보세요
1 진행 온라인 실시간zoom
2 일시 20231116목 19002100
3 멘토 직무 및 소속 영업영업관리 직무카카오 전략광고세일즈
4 멘토 프로필 확인 httpswwwitdaanetmentors325655
5 문의 서울 진로취업지원센터 0221732235
 ",단과대학 ,전체,전체,50,50,0,0,0,0,"동문선배의, 생생한, 현직, 통해, 이해, 소개를, 올바른, 직무, 파악, 필요역량을","영업관리, 영업, 현직, 해결해보세요, 궁금증을, 진행, 실시간, 선배와, 소속, 콘서트"
공사공기업한국산업인력공단 현직선배와 함께하는 JOB 콘서트,교육특강,학부학부,현직 동문선배의 생생한 직무 소개를 통해 올바른 직무 이해 및 필요역량을 파악,"20232 현직 선배와 함께하는 JOB 콘서트
현직 동문 선배와 함께 다양한 직무 및 취업준비에 대한 모든 궁금증을 해결해보세요
1 진행 온라인 실시간zoom
2 일시 20231114화 19002100
3 멘토 직무 및 소속 공사공기업한국산업인력공단 직업능력개발부
4 멘토 프로필 확인 httpswwwitdaanetmentors3145
5 문의 서울 진로취업지원센터 0221732235
 ",단과대학 ,전체,전체,50,50,0,0,0,0,"동문선배의, 생생한, 현직, 통해, 이해, 소개를, 올바른, 직무, 파악, 필요역량을","한국산업인력공단, 직업능력개발부, 현직, 선배와, 해결해보세요, 공기업, 궁금증을, 실시간, 진행, 소속"
마케팅MD뉴발란스코리아 현직선배와 함께하는 JOB 콘서트,교육특강,학부학부,현직 동문선배의 생생한 직무 소개를 통해 올바른 직무 이해 및 필요역량을 파악,"20232 현직 선배와 함께하는 JOB 콘서트
현직 동문 선배와 함께 다양한 직무 및 취업준비에 대한 모든 궁금증을 해결해보세요
1 진행 온라인 실시간zoom
2 일시 20231025수 19002100
3 멘토 직무 및 소속 마케팅MD 직무뉴발란스코리아 신발기획부 퍼포먼스파트
4 멘토 프로필 확인 httpswwwitdaanetmentors332792
5 문의 서울 진로취업지원센터 0221732235
 ",단과대학 ,전체,전체,50,50,0,0,0,0,"동문선배의, 생생한, 현직, 통해, 이해, 소개를, 올바른, 직무, 파악, 필요역량을","해결해보세요, 궁금증을, 현직, 퍼포먼스파트, 실시간, 진행, 뉴발란스코리아, 선배와, 멘토, 마케팅"
마케팅MD쿠팡이커머스 현직선배와 함께하는 JOB 콘서트,교육특강,학부학부,현직 동문선배의 생생한 직무 소개를 통해 올바른 직무 이해 및 필요역량을 파악,"20232 현직 선배와 함께하는 JOB 콘서트
현직 동문 선배와 함께 다양한 직무 및 취업준비에 대한 모든 궁금증을 해결해보세요
1 진행 온라인 실시간zoom
2 일시 20231101수 19002100
3 멘토 직무 및 소속 마케팅MD 직무쿠팡 이커머스 MD
4 멘토 프로필 확인 httpswwwitdaanetmentors44076
5 문의 서울 진로취업지원센터 0221732235
 ",단과대학 ,전체,전체,50,50,0,0,0,0,"동문선배의, 생생한, 현직, 통해, 이해, 소개를, 올바른, 직무, 파악, 필요역량을","해결해보세요, 궁금증을, 현직, 마케팅, 진행, 선배와, 멘토, 실시간, 일시, 이커머스"
영업영업관리한국IBM 현직선배와 함께하는 JOB 콘서트,교육특강,학부학부,현직 동문선배의 생생한 직무 소개를 통해 올바른 직무 이해 및 필요역량을 파악,"20232 현직 선배와 함께하는 JOB 콘서트
현직 동문 선배와 함께 다양한 직무 및 취업준비에 대한 모든 궁금증을 해결해보세요
1 진행 온라인 실시간zoom
2 일시 20231109목 19002100
3 멘토 직무 및 소속 영업영업관리 직무한국IBM IT Sales
4 멘토 프로필 확인 httpswwwitdaanetmentors284778
5 문의 서울 진로취업지원센터 0221732235
 ",단과대학 ,전체,전체,50,50,0,0,0,0,"동문선배의, 생생한, 현직, 통해, 이해, 소개를, 올바른, 직무, 파악, 필요역량을","영업관리, 궁금증을, 해결해보세요, 영업, 현직, 선배와, 실시간, 소속, 진행, 서울"
마케팅MD주산돌 현직선배와 함께하는 JOB 콘서트,교육특강,학부학부,현직 동문선배의 생생한 직무 소개를 통해 올바른 직무 이해 및 필요역량을 파악,"20232 현직 선배와 함께하는 JOB 콘서트
현직 동문 선배와 함께 다양한 직무 및 취업준비에 대한 모든 궁금증을 해결해보세요
1 진행 온라인 실시간zoom
2 일시 20231024화 19002100
3 멘토 직무 및 소속 마케팅MD 직무현 주산돌 브랜드커뮤니케이션팀 전 CJ제일제당CJ대한통운
4 멘토 프로필 확인 httpswwwitdaanetmentors96239
5 문의 서울 진로취업지원센터 0221732235
 ",단과대학 ,전체,전체,50,50,0,0,0,0,"동문선배의, 생생한, 현직, 통해, 이해, 소개를, 올바른, 직무, 파악, 필요역량을","cj대한통운, cj제일제당, 현직, 해결해보세요, 선배와, 궁금증을, 브랜드커뮤니케이션팀, 실시간, 진행, 확인"
해외영업SK바이오사이언스 현직선배와 함께하는 JOB 콘서트,교육특강,학부학부,현직 동문선배의 생생한 직무 소개를 통해 올바른 직무 이해 및 필요역량을 파악,"20232 현직 선배와 함께하는 JOB 콘서트
현직 동문 선배와 함께 다양한 직무 및 취업준비에 대한 모든 궁금증을 해결해보세요
1 진행 온라인 실시간zoom
2 일시 20231024화 19002100
3 멘토 직무 및 소속 해외영업 직무SK바이오사이언스 해외사업팀
4 멘토 프로필 확인 httpswwwitdaanetmentors34356
5 문의 서울 진로취업지원센터 0221732235
 ",단과대학 ,전체,전체,50,50,0,0,0,0,"동문선배의, 생생한, 현직, 통해, 이해, 소개를, 올바른, 직무, 파악, 필요역량을","sk바이오사이언스, 현직, 선배와, 해결해보세요, 확인, 진행, 실시간, 소속, 동문, 멘토"
회계재무금융신세계백화점 현직선배와 함께하는 JOB 콘서트,교육특강,학부학부,현직 동문선배의 생생한 직무 소개를 통해 올바른 직무 이해 및 필요역량을 파악,"20232 현직 선배와 함께하는 JOB 콘서트
현직 동문 선배와 함께 다양한 직무 및 취업준비에 대한 모든 궁금증을 해결해보세요
1 진행 온라인 실시간zoom
2 일시 20231024화 19002100
3 멘토 직무 및 소속 회계재무금융 직무신세계백화점 재무팀
4 멘토 프로필 확인 httpswwwitdaanetmentors26459
5 문의 서울 진로취업지원센터 0221732235
 ",단과대학 ,전체,전체,50,50,0,0,0,0,"동문선배의, 생생한, 현직, 통해, 이해, 소개를, 올바른, 직무, 파악, 필요역량을","선배와, 현직, 확인, 해결해보세요, 실시간, 진행, 백화점, 서울, 동문, 멘토"
